family,CountSpeciesSampled,CountSpPos,BdTested,BdPositive,TotalSpeciesInFamily
Allophrynidae,1,0,7,0,3
Alsodidae,15,7,519,49,26
Alytidae,8,6,7705,3324,12
Ambystomatidae,22,18,1459,178,32
Amphiumidae,3,2,60,23,3
Arthroleptidae,89,48,2078,306,153
Ascaphidae,2,0,374,0,2
Batrachylidae,8,6,369,75,13
Bombinatoridae,5,4,4034,669,10
Brachycephalidae,11,8,338,84,76
Brevicipitidae,6,1,50,2,36
Bufonidae,197,95,26193,3129,632
Caeciliidae,5,0,5,0,43
Calyptocephalellidae,2,2,116,54,5
Centrolenidae,34,18,597,59,159
Ceratobatrachidae,14,2,355,4,102
Ceratophryidae,7,7,329,60,12
Conrauidae,5,2,145,7,7
Craugastoridae,47,34,2029,278,123
Cryptobranchidae,3,3,895,149,4
Cycloramphidae,20,12,315,73,37
Dendrobatidae,70,43,2929,392,336
Dermophiidae,5,2,84,28,15
Dicamptodontidae,2,1,177,2,4
Dicroglossidae,43,16,4105,100,226
Eleutherodactylidae,66,34,10468,2492,232
Heleophrynidae,5,5,90,53,6
Hemiphractidae,24,20,664,166,120
Hemisotidae,3,0,22,0,9
Herpelidae,2,2,96,45,10
Hylidae,349,230,45434,9615,1036
Hylodidae,29,23,1468,501,47
Hynobiidae,20,3,443,104,86
Hyperoliidae,100,60,2886,631,232
Ichthyophiidae,4,0,12,0,57
Indotyphlidae,6,1,130,36,24
Leiopelmatidae,3,1,2169,82,3
Leptodactylidae,84,46,5052,753,227
Mantellidae,65,0,1034,1,233
Megophryidae,28,3,296,13,283
Micrixalidae,1,0,43,0,24
Microhylidae,84,25,2347,78,715
Myobatrachidae,45,25,3102,1504,135
Nyctibatrachidae,2,2,63,8,39
Odontobatrachidae,1,0,159,0,5
Odontophrynidae,10,7,352,46,53
Pelobatidae,4,3,273,12,6
Pelodytidae,1,0,18,0,4
Petropedetidae,9,5,159,15,13
Phrynobatrachidae,38,18,1206,133,98
Pipidae,24,20,3039,681,41
Plethodontidae,143,66,12703,842,493
Proteidae,4,4,142,66,8
Ptychadenidae,24,9,690,69,63
Pyxicephalidae,26,16,837,253,87
Ranidae,162,91,48360,8624,434
Ranixalidae,6,2,152,2,19
Rhacophoridae,52,19,1156,148,444
Rhinodermatidae,2,2,2611,97,3
Rhinophrynidae,1,0,4,0,1
Salamandridae,49,21,15537,1354,127
Scaphiopodidae,7,4,479,36,7
Scolecomorphidae,3,3,32,10,6
Siphonopidae,7,3,98,8,28
Sirenidae,4,3,49,13,5
Sooglossidae,3,0,93,0,4
Strabomantidae,136,62,3776,476,762
Telmatobiidae,25,21,1062,449,63
Typhlonectidae,9,4,182,33,14
